family	building_type	element	value_original	unit_original	value_m	parse	confidence	source	quote
keep_donjon	castle well (Carcassonne, principal well)	shaft depth (present state) / height of the water column	30.20 / up to 6.30	m	30.200	first number, unit column (m)	measured	Viollet-le-Duc, Dictionnaire raisonné, art. Puits	La profondeur actuelle est de 30 m ,20. La nappe d’eau s’élève parfois jusqu’à 6 m ,30 de hauteur, mais il est souvent à sec et en partie comblé.
keep_donjon	castle well (Carcassonne, second well on a small square, 14th-c. margelle)	shaft depth / height of the water column	21.40 / 3.50	m	21.400	first number, unit column (m)	measured	Viollet-le-Duc, Dictionnaire raisonné, art. Puits	La profondeur de ce puits est de 21 m ,40, et la nappe d’eau de 3 m ,50.
keep_donjon	well head (Carcassonne principal well, 14th-c. sandstone margelle)	bahut (kerb wall) height x thickness	1.00 x 0.22	m	1.000	pair max (m)	measured	Viollet-le-Duc, Dictionnaire raisonné, art. Puits	Le bahut de grès, d’un mètre de hauteur et de 0 m ,22 d’épaisseur, supporte trois piles monolithes qui étaient reliées à leur sommet par trois poutres
keep_donjon	well shaft inside a buttress serving several storeys (Château-Landon abbey, 13th c.)	shaft internal diameter	1.05	m	1.050	m	measured	Viollet-le-Duc, Dictionnaire raisonné, art. Puits	on voit encore un puits de 1 m , 05 de diamètre, qui était disposé de manière à desservir plusieurs étages, ainsi que l’indique la coupe C
keep_donjon	medieval well, general range (towns, castles, cloisters, houses)	shaft internal diameter, dans oeuvre — 3 pieds (≈0.97 m) up to 2 or 3 toises (≈3.90-5.85 m)	3 pieds to 2-3 toises	ft (pied ≈0.325 m; toise ≈1.95 m)	0.914	first number, unit column (ft)	author-rule	Viollet-le-Duc, Dictionnaire raisonné, art. Puits	Ils sont revêtus de pierres de taille ; leur diamètre est très-variable. Il est des puits qui n’ont que trois pieds de diamètre dans œuvre, d’autres qui ont jusqu’à deux et trois toises.
keep_donjon	well winch (Château-Landon, treuil à rouet in a masonry recess)	squared timber of the winch axle, and the square socket holes cut in one course of masonry to take it	0.25	m	0.250	m	measured	Viollet-le-Duc, Dictionnaire raisonné, art. Puits	On voit encore en a , a′ , les trous carrés faits dans la pierre, ou plutôt ménagés dans une hauteur d’assise, qui servaient à passer l’arbre du treuil roulant dans le milieu d’une pièce de bois bien équarrie et de 25 centimètres de côté.
keep_donjon	motte-and-bailey earthwork castle (La Tusque, Sainte-Eulalie d’Ambarès)	bailey enclosure length x width	150 x 90-110	m	150.000	first number, unit column (m)	measured	Viollet-le-Duc, Dictionnaire raisonné, art. Château	un fossé C ferme le quatrième côté du parallélogramme, qui a 150 mètres de long sur 90 mètres à 110 mètres environ
keep_donjon	motte-and-bailey earthwork castle (La Tusque)	motte diameter / motte ditch width / vallum height x width	27 / 10-15 / 2 high x 10 wide	m	27.000	first number, unit column (m)	measured	Viollet-le-Duc, Dictionnaire raisonné, art. Château	Au milieu de ce parallélogramme s’élève une motte D de 27 mètres de diamètre dont le fossé varie en largeur de 10 à 15 mètres. Sur un des grands côtés en E s’élève un vallum haut de deux mètres environ et large de 10 mètres.
keep_donjon	Norman castle ditch cut in chalk (Arques, 11th c.)	ditch width, crest of the counterscarp to the base of the walls	25 to 30	m	27.500	m [range midpoint]	measured	Viollet-le-Duc, Dictionnaire raisonné, art. Château	Ce fossé, fait à main d’homme et creusé dans la craie, n’a pas moins de 25 m à 30 m de largeur de la crête de la contrescarpe à la base des murailles.
keep_donjon	rock-cut castle ditch, fond de cuve (Château Gaillard)	ditch width x depth	10 x 7-8	m	10.000	first number, unit column (m)	measured	Viollet-le-Duc, Dictionnaire raisonné, art. Château	En effet, le fossé est creusé dans le roc, à fond de cuve ; il a dix mètres de large environ sur sept à huit mètres de profondeur.
keep_donjon	castle ditch separating the château from its basse-cour (Coucy)	ditch width	20	m	20.000	m	measured	Viollet-le-Duc, Dictionnaire raisonné, art. Château	Un fossé de vingt mètres de largeur sépare le château de la basse-cour.
town_house	urban stone house, Hostelry of the Priors of Lewes, Southwark (London), 12th c.	wall thickness (vaulted undercroft / lower storey)	3 ft 3 in (0.99 m)	ft-in	0.990	metric conversion in source string	measured	Turner & Parker, Some Account of Domestic Architecture in England, IA someaccountofdom00turn leaf n163	The walls were 3 ft. 3 in. thick.
town_house	urban stone house, Southwark hostelry, 12th c.	vault thickness (chalk vault over undercroft)	9 in (0.23 m)	ft-in	0.230	metric conversion in source string	measured	Turner & Parker, IA someaccountofdom00turn leaf n163	the vault was entirely chalk, 9 in. thick : the rest of the lower building rubble.
town_house	town house / civil building, gable wall	gable wall thickness (worked example: 4 m high on an 8 m base)	0.50	m	0.500	m	author-rule	Viollet-le-Duc, Dictionnaire raisonné, art. Pignon, fig. 2	Si (fig. 2) nous élevons un pignon A plein, de 4 mètres de hauteur sur 8 mètres de base, et 0 m ,50 d’épaisseur, nous aurons, en élévation, une surface bâtie de 16 mètres et un cube de 8 mètres.
town_house	town house, chimney stack with grouped flues	partition wall thickness between adjacent flues	0.10 to 0.20	m	0.150	m [range midpoint]	measured	Viollet-le-Duc, art. Cheminée (tuyaux et mitres de)	Au lieu d’être cylindriques à l’intérieur, les tuyaux donnent, dans ce cas, les sections horizontales de parallélogrammes très-allongés séparés par des cloisons de 0,10 c. à 0,20 c. d’épaisseur.
town_house	town house with shop, 13th-15th c. French	storey height, ground storey (rez-de-chaussée), clear	3 to 4, rarely more	m	3.000	first number, unit column (m)	author-rule	Viollet-le-Duc, art. Boutique	mais cela était difficile à obtenir avec la pierre, sans le secours du bois et du fer, surtout lorsqu’on était limité par la hauteur des rez-de-chaussée, qui ne dépassait guère alors trois ou quatre mètres, et lorsqu’il fallait élever plusieurs étages au-dessus de ces rez-de-chaussée.
town_house	urban stone house, Southwark hostelry, 12th c.	storey height, undercroft floor to vault crown (clear)	14 ft 3 in (4.34 m)	ft-in	4.340	metric conversion in source string	measured	Turner & Parker, IA someaccountofdom00turn leaf n163	The vaulted chamber formed a parallelogram of 40 ft. 3 in., by 16 ft. 6 in., and 14 ft. 3 in. high, the vaulted roof being supported by arches springing from six semi-circular pillars attached to the side walls ; these pillars were 5 ft. 10 in. high, including the capitals and base.
town_house	urban stone house, Southwark hostelry, 12th c.	floor level drop, undercroft floor below porch floor	"about 3.5 ft (1.07 m); OCR renders the fraction as ""3^ ft."""	ft-in	1.070	metric conversion in source string	measured	Turner & Parker, IA someaccountofdom00turn leaves n162-n163	At the distance of 6 ft. 9 in. from the inner door there was a flight of steps to the chamber, the floor of which was nearly 3^ ft. lower
town_house	house street door (porte d'allée), pedestrian only, French medieval town house	door opening width	1.00 to 1.50	m	1.250	m [range midpoint]	author-rule	Viollet-le-Duc, art. Porte (Portes d'édifices civils extérieurs et intérieurs)	Quant aux portes des maisons proprement dites, ces habitations, fussent-elles pourvues de cours, n’étaient toujours que ce que nous appelons des portes d’allée, c’est-à-dire disposées seulement pour des piétons, d’une largeur de 1 mètre à 1 m ,50, et d’une hauteur de 2 m ,50 à 3 mètres au plus.
town_house	house street door (porte d'allée), French medieval town house	door opening height (absolute maximum)	2.50 to 3.00 at most	m	2.500	first number, unit column (m)	author-rule	Viollet-le-Duc, art. Porte	Quant aux portes des maisons proprement dites, ces habitations, fussent-elles pourvues de cours, n’étaient toujours que ce que nous appelons des portes d’allée, c’est-à-dire disposées seulement pour des piétons, d’une largeur de 1 mètre à 1 m ,50, et d’une hauteur de 2 m ,50 à 3 mètres au plus.
town_house	interior door between rooms, medieval dwelling (any rank)	door opening height	2.00 to 2.50 at most	m	2.000	first number, unit column (m)	author-rule	Viollet-le-Duc, art. Porte	Ces portes ne s’élargissent qu’autant qu’elles servent de communication entre de grandes salles destinées à offrir une série de pièces propres à donner des fêtes ou à recevoir un grand concours de monde, mais elles conservent toujours une hauteur variant entre 2 mètres et 2 m ,50 au plus.
town_house	interior door between rooms, medieval dwelling	door opening height under lintel (hard ceiling, even when the door is made wide)	2.50 (never exceeded)	m	2.500	first number, unit column (m)	author-rule	Viollet-le-Duc, art. Porte	Si ces portes parfois sont larges, pour permettre une circulation facile, elles ne dépassent pas 2 m ,50 sous linteau.
town_house	interior door, medieval dwelling incl. princely houses	door opening height, NEGATIVE BOUND (modern 3-4 m doors do not occur)	never 3 to 4	m	3.000	first number, unit column (m)	author-rule	Viollet-le-Duc, art. Porte	Dans aucune habitation du moyen âge, fût-elle princière, on ne trouverait de ces portes d’appartements ayant 3 ou 4 mètres de hauteur, comme dans nos hôtels modernes, par cette raison bien naturelle, que si nobles qu’elles fussent, les personnes passant par ces portes n’avaient pas une taille qui atteignit six pieds.
town_house	interior door with draught lobby (tambour / clotet), medieval dwelling	height of the timber draught lobby enclosing the door	6 to 7 pieds = 1.95 to 2.28 (at Viollet's pied = 0.325 m)	ft	0.325	first measure in prose (m)	author-rule	Viollet-le-Duc, art. Porte	Beaucoup de ces portes d’appartements étaient d’ailleurs garnies de tambours ou de clotets , qui, ne s’élevant qu’à une hauteur de 6 à 7 pieds, empêchaient l’air extérieur de pénétrer dans la pièce lorsqu’on ouvrait un vantail.
town_house	urban stone house, Southwark hostelry, 12th c.	entrance porch, length x width	19 ft x 11 ft 9 in (5.79 x 3.58 m)	ft-in	5.791	first measure in prose (ft)	measured	Turner & Parker, IA someaccountofdom00turn leaf n162	The porch extended 19 ft., and appeared to have been longer; its width was 11 ft. 9 in.
town_house	urban stone house, Southwark hostelry, 12th c.	distance from inner door to head of the internal stair flight	6 ft 9 in (2.06 m)	ft-in	2.060	metric conversion in source string	measured	Turner & Parker, IA someaccountofdom00turn leaves n162-n163	At the distance of 6 ft. 9 in. from the inner door there was a flight of steps to the chamber, the floor of which was nearly 3^ ft. lower
town_house	civil Romanesque window, late 11th c. (château de Carcassonne, chamber window)	window opening width between the splay jambs	1.20	m	1.200	m	measured	Viollet-le-Duc, art. Fenêtre, fig. 29	Sa largeur totale entre les pieds-droits de l’ébrasement est de 1 m ,20, et la profondeur de cet ébrasement est de 0,60 c., moitié de la largeur.
town_house	civil Romanesque window, late 11th c.	window splay (ébrasement) depth — Viollet states it as half the width, a usable proportional rule	0.60 = half the 1.20 width	m	0.600	first number, unit column (m)	measured	Viollet-le-Duc, art. Fenêtre, fig. 29	Sa largeur totale entre les pieds-droits de l’ébrasement est de 1 m ,20, et la profondeur de cet ébrasement est de 0,60 c., moitié de la largeur.
town_house	mullioned window, civil and religious	maximum clear glazed bay between mullions	about 1.00 (stated also as intervals of trois pieds ≈ 0.98)	m	1.000	first number, unit column (m)	author-rule	Viollet-le-Duc, art. Fenêtre	On conçoit, par exemple, que les architectes ayant admis que pour maintenir les panneaux de vitraux il ne fallait pas laisser plus d’un mètre environ de vide entre les meneaux, à moins d’être entraîné à placer des montants en fer entre ces meneaux comme dans l’exemple précédent
town_house	mullioned window	maximum clear glazed bay, upper variant	1.00 to 1.30 at most (3 or 4 pieds)	m	1.000	first number, unit column (m)	author-rule	Viollet-le-Duc, art. Meneau	on voulut subdiviser ces espaces lorsqu’ils étaient très-larges, et au lieu de deux claires-voies on en établit quatre, de manière à ne plus avoir à vitrer que des vides de 1 m ,00 à 1 m ,30 au plus (3 ou 4 pieds).
town_house	mullioned window	mullion count by opening width (generative rule): 2 m opening = 1 mullion, 4 m = 1 + 2, 8 m = 1 + 2 + 4	2 m -> 1; 4 m -> 3; 8 m -> 7	m	2.000	first measure in prose (m)	author-rule	Viollet-le-Duc, art. Fenêtre, figs 21-23	Soit une fenêtre de deux mètres de large à vitrer, l’architecte pose un meneau ( 21 ). Soit de quatre mètres, il pose un meneau principal et deux meneaux secondaires ( 22 ). Soit de huit mètres, il pose un meneau principal, deux meneaux secondaires et quatre tertiaires ( 23 ).
town_house	mullioned window, Saint-Urbain de Troyes (church — the only measured mullion scantling found; transferable to any stone mullion)	mullion section, thickness x depth (champ)	0.095 x 0.23	m	0.230	pair max (m)	measured	Viollet-le-Duc, art. Meneau	Ces meneaux, qui n’ont que 0 m ,095 d’épaisseur sur 0 m ,23 de champ, suffisent pour maintenir les vitraux de fenêtres qui ont 4 m ,40 de largeur sur 9 m ,20 de hauteur de l’appui à la clef
town_house	domestic window, French civil architecture to early 17th c.	casement / shutter leaf height, practical upper bound (3 m is already unworkable)	3 is not manoeuvrable	m	3.000	first number, unit column (m)	author-rule	Viollet-le-Duc, art. Fenêtre	Les meneaux et les traverses persistent dans les fenêtres de l’architecture civile française jusqu’au commencement du XVII e siècle, parce que jusqu’alors les croisées s’ouvraient par petites parties, et qu’on ne supposait pas qu’il fût commode de manœuvrer des châssis et des volets de trois mètres de hauteur.
town_house	town house floor, 13th-15th c. French	floor joist (solive) scantling, square, varying with span	0.164 (6 pouces) to 0.22 (8 pouces)	m	0.164	first number, unit column (m)	measured	Viollet-le-Duc, art. Solive	Leur équarrissage, suivant les portées, varie entre 0 m ,22 (8 pouces) et 0 m ,164 (6 pouces).
town_house	town house floor, 15th c. (example from a house at Saint-Antonin, Tarn-et-Garonne)	floor joist spacing, centres	0.60 to 0.90	m	0.750	m [range midpoint]	measured	Viollet-le-Duc, art. Solive, fig. 2	Ces sortes de solives sont espacées les unes des autres de 0 m ,60 à 0 m ,90, et reçoivent des entretoises qui portent l’aire et le plafonnage.
town_house	town house floor, medieval French	"joist spacing RULE — clear gap between joists equals the width of one joist (""tant plein que vide"")"	clear gap = 1 joist width	m	1.000	first number, unit column (m)	author-rule	Viollet-le-Duc, art. Solive	L’usage était de poser les solives tant plein que vide, c’est-à-dire qu’on laissait exactement entre chaque solive la largeur de l’une d’elles.
town_house	town house floor, southern France (Narbonne, Béziers, Aigues-Mortes, Perpignan)	fir joist scantling, closely set, with beams close together	0.11 (4 pouces)	m	0.110	first number, unit column (m)	measured	Viollet-le-Duc, art. Solive	les poutres maîtresses sont assez voisines les unes des autres et les solives très-fines 0 m ,11 (4 pouces) et très-serrées.
town_house	town house floor, southern France	floor board / madrier thickness laid over the joists, with cover fillets	0.06	m	0.060	m	measured	Viollet-le-Duc, art. Solive	Par-dessus est posé un lambrissage de forts madriers de 0 m ,06, avec couvre-joints, qui porte l’aire.
town_house	grand town house (hôtel de Jacques Cœur, Bourges), 15th c.	fireplace opening, height under the mantel x width	1.66 high x 2.57 wide	m	1.660	first number, unit column (m)	measured	Viollet-le-Duc, art. Cheminée	Cette cheminée porte 1 m ,66 sous le manteau sur 2 m ,57 de largeur.
town_house	domestic fireplace, château de Vauce près Ébreuil (Allier)	fireplace mantel lintel depth (thickness of the manteau)	about 0.20	m	0.200	m	measured	Viollet-le-Duc, art. Cheminée, fig. 3	son manteau se compose de deux sommiers engagés dans le mur, portant sur les deux pieds-droits, et d’une clef ; il n’a que 0,20 c. d’épaisseur environ.
town_house	large chimney stack, early 13th c. (abbaye de Saint-Lô, destroyed before 1845)	chimney shaft, external diameter of the octagonal turret flue	0.90 (hors œuvre)	m	0.900	first number, unit column (m)	measured	Viollet-le-Duc, art. Cheminée (tuyaux et mitres de)	Il existait, avant 1845, à l’abbaye de Saint-Lô, une énorme cheminée, du commencement du XIII e siècle, dont le tuyau était un véritable monument, une tourelle octogone de 0,90 c. de diamètre hors œuvre.
town_house	urban stone house, Southwark hostelry, 12th c.	room length x width, vaulted undercroft (inferior hall) — internal	40 ft 3 in x 16 ft 6 in (12.27 x 5.03 m)	ft-in	12.268	first measure in prose (ft in)	measured	Turner & Parker, IA someaccountofdom00turn leaf n163	The vaulted chamber formed a parallelogram of 40 ft. 3 in., by 16 ft. 6 in., and 14 ft. 3 in. high
town_house	urban stone house, Southwark hostelry, 12th c.	vault respond / attached half-round pier height including cap and base	5 ft 10 in (1.78 m)	ft-in	1.780	metric conversion in source string	measured	Turner & Parker, IA someaccountofdom00turn leaf n163	the vaulted roof being supported by arches springing from six semi-circular pillars attached to the side walls ; these pillars were 5 ft. 10 in. high, including the capitals and base.
town_house	urban stone town house, Gondorf on the Moselle, 13th c. (four storeys plus roof space, stepped gables)	room / building internal footprint	about 42 ft x 28 ft (12.80 x 8.53 m)	ft-in	12.802	first measure in prose (ft)	measured	Turner & Parker, IA someaccountofdom00turn leaf n502	It is of four stories besides the space in the roof, and has stepped gables at each end. ... It measures internally about 42 ft. by 28 ft.
town_house	large 14th-15th c. building under an equilateral-triangle roof (Brittany, Picardy, Normandy)	clear internal width (dans œuvre) under a single big roof	up to 10 to 11	m	10.500	m [range midpoint]	measured	Viollet-le-Duc, art. Lucarne	car bien que ces bâtiments fussent simples en épaisseur, ils contenaient quelquefois jusqu’à dix et onze mètres dans œuvre en largeur ; or, les combles étant tracés d’après un triangle équilatéral, on comprend que les faîtages devaient s’élever beaucoup au-dessus de la corniche.
town_house	timber external gallery / corridor on a house, carried on stone columns or posts	gallery / circulation width	1.00 to 1.50	m	1.250	m [range midpoint]	measured	Viollet-le-Duc, art. Galerie	Ces galeries, légèrement construites en bois sur des colonnes de pierre ou sur des poteaux, n’avaient que la largeur d’un corridor, 1 m ,00 à 1 m ,50 c.
town_house	shop house, Saint-Antonin (Tarn-et-Garonne), 15th c.	shopfront opening, clear span at ground storey	not less than 7	m	7.000	first number, unit column (m)	measured	Viollet-le-Duc, art. Boutique	C’est une boutique d’une des maisons de Saint-Antonin ; son ouverture n’a pas moins de sept mètres ; sa construction remonte au XV e siècle.
town_house	shop house, medieval French town	fall-down shutter / counter surface area	4 to 5	m	4.500	m [range midpoint]	author-rule	Viollet-le-Duc, art. Boutique	Sur ces petits volets abattus, ne présentant qu’une surface de quatre ou cinq mètres, des fortunes solides se faisaient.
town_house	town house / civil building gable	roof pitch and gable triangle proportion (4 m rise on an 8 m base = 45 deg)	45	deg		non-length (deg)	author-rule	Viollet-le-Duc, art. Pignon, fig. 2	Si (fig. 2) nous élevons un pignon A plein, de 4 mètres de hauteur sur 8 mètres de base, et 0 m ,50 d’épaisseur
town_house	town house / civil building, steep-roofed	roof pitch (steep type) and the span range at which gable stabilising becomes necessary	more than 45 deg, at spans of 12 to 15 m	deg		non-length (deg)	author-rule	Viollet-le-Duc, art. Pignon	Mais quand on en vint à donner aux charpentes de combles une inclinaison de plus de 45 degrés, et que ces charpentes eurent jusqu’à 12 et 15 mètres d’ouverture, il fallut bien adopter des moyens extraordinaires pour maintenir dans un plan vertical ces énormes maçonneries triangulaires
town_house	14th-15th c. house/logis with a very tall roof (Brittany, Picardy, Normandy)	roof pitch — roof section set out on an equilateral triangle, i.e. 60 deg rafters	60 (equilateral triangle)	deg		non-length (deg)	author-rule	Viollet-le-Duc, art. Lucarne	or, les combles étant tracés d’après un triangle équilatéral, on comprend que les faîtages devaient s’élever beaucoup au-dessus de la corniche.
town_house	dormer (lucarne) on a domestic roof	dormer timber scantling, squared	0.15 to 0.25	m	0.200	m [range midpoint]	measured	Viollet-le-Duc, art. Lucarne	Les bois étaient forts de 0,15 c. à 0,25 c. d’équarrissage, et nettement coupés.
town_house	garderobe / latrine tower, château de Marcoussis, 13th c. (castle, but the shaft arrangement transfers to any tall house)	vertical shaft — NO floors at any level from ground storey to roof; roof set about 1.00 m above the head of the topmost window; four seats per storey over three storeys	0 floors over full height; roof 1.00 above top window	m	0.000	first number, unit column (m)	measured	Viollet-le-Duc, art. Latrines, fig. 3	Ces sièges étaient au nombre de quatre à chaque étage, et du sol D (rez-de-chaussée) au comble, posé à 1 m ,00 environ en contre-haut de la fenêtre supérieure E , il n’y avait pas de planchers.
timber_frame	urban timber house (maison en pan de bois), Dreux, mid-12th c	wall thickness (ground and upper storey) = scantling of the sablieres basses/hautes and poteaux that ARE the wall	0.19	m	0.190	m	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Pan de bois"""	Les sablières basses et hautes, les poteaux, étaient des bois de 7 pouces environ (19 centimètres) ; les jambages des fenêtres, des bois de 15 + 18 centimètres.
timber_frame	urban timber house, Dreux, mid-12th c	window jambage (potelet) scantling — window reveal depth x width	0.15 x 0.18	m	0.180	pair max (m)	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Pan de bois"""	Les sablières basses et hautes, les poteaux, étaient des bois de 7 pouces environ (19 centimètres) ; les jambages des fenêtres, des bois de 15 + 18 centimètres.
timber_frame	urban timber house, Dreux, mid-12th c	vertical stack — storeys (the whole level-design section)	rez-de-chaussee + 1 jettied etage + galetas	storeys		unparsed	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Pan de bois"""	Cette maison, exhaussée au XVe siècle, ne se composait primitivement que d’un rez-de-chaussée, d’un premier étage en encorbellement et d’un galetas.
timber_frame	urban timber house, Dreux, mid-12th c	[[PLATE-SCALED off fig. 2 section, its own vertical bar labelled 2m = 169 px, so 84.5 px/m. Partial section, so treat as +/- 0.2 m]] ground-storey floor-to-floor, ground line to the underside of the first-floor beam assembly	about 3.5	m	3.500	m	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Pan de bois"", fig. 2 (plate Maison.bois.medievale.Dreux.4.png)"	La figure 2 présente la coupe de ce pan de bois, elle indique le poteau intermédiaire A, renforçant la face du rez-de-chaussée et portant, au moyen d’un lien B, la poutre transversale C, laquelle soulage d’autant la portée de la sablière basse D du pan de bois supérieur.
timber_frame	urban timber house, Dreux, mid-12th c	[[PLATE-SCALED off fig. 2 at 84.5 px/m; measured face-of-post to face-of-post between the two levels]] jetty (encorbellement) projection of the first etage over the rez-de-chaussee	about 0.80	m	0.800	m	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Pan de bois"", fig. 2"	Cette maison, exhaussée au XVe siècle, ne se composait primitivement que d’un rez-de-chaussée, d’un premier étage en encorbellement et d’un galetas.
timber_frame	urban timber house, Chateaudun, late 13th c	wall thickness at the angle and the axis of the facade (corner post and axis post squared section)	0.22 and 0.24	m	0.220	first number, unit column (m)	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Pan de bois"""	Les poteaux d’angle et d’axe de la façade B ont 22 et 24 centimètres d’équarrissage ; tous les autres, ainsi que les sablières et solives, n’ont que 17 à 19 centimètres.
timber_frame	urban timber house, Chateaudun, late 13th c	wall thickness of every other post, and the sabliere and solive scantling	0.17 to 0.19	m	0.180	m [range midpoint]	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Pan de bois"""	Les poteaux d’angle et d’axe de la façade B ont 22 et 24 centimètres d’équarrissage ; tous les autres, ainsi que les sablières et solives, n’ont que 17 à 19 centimètres.
timber_frame	urban timber house, Chateaudun, late 13th c	floor joist (solive) spacing — the ceiling-void / crawl module	about 1.00	m	1.000	m	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Pan de bois"""	Ces solives étant espacées de près d’un mètre, elles reçoivent de plus faibles solives, ou plutôt des lambourdes, sur lesquelles sont posés les bardeaux avec entrevous, aire et carrelage.
timber_frame	urban timber house, Chateaudun, late 13th c	[[PLATE-SCALED off fig. 4. Its scale bar runs y=564..1006 px in five 1 m ticks = 442 px, so 88.4 px/m. Calibration cross-checked THREE ways on the same plate: the staffage man scales to 1.67 m; the posts in the section profile A scale to 0.19 / 0.18 / 0.16 m against Viollet's printed 17-19 cm; the door scales to a round 1.00 m. Precision +/- 0.05 m]] storey height, floor-to-floor (top of one jetty assembly to the top of the next)	3.35 (rez-de-chaussee), 3.35 (1er etage), 2.80 (2e etage)	m	3.350	first number, unit column (m)	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Pan de bois"", fig. 4 (plate Maison.bois.medievale.Dreux.2.png)"	Nous traçons (fig. 4) un de ces pans de bois, qui appartient, autant qu’on en peut juger par les profils, à la fin du XIIIe siècle
timber_frame	urban timber house, Chateaudun, late 13th c	[[PLATE-SCALED off fig. 4 at 88.4 px/m]] clear storey height, floor to underside of the sabliere haute (playable headroom)	2.70 (rez-de-chaussee), 2.75 (1er etage), 2.15 (2e etage)	m	2.700	first number, unit column (m)	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Pan de bois"", fig. 4"	Les solives C des planchers posant sur les sablières hautes assemblées sur la tête des poteaux, sont soulagées par des goussets et liens D à l’intérieur et à l’extérieur, et peuvent ainsi recevoir à leur extrémité la sablière basse de l’étage au-dessus.
timber_frame	urban timber house, Chateaudun, late 13th c	[[PLATE-SCALED off fig. 4 at 88.4 px/m; consistent to within 4 px at all three levels]] total depth of the floor / jetty assembly (sabliere haute below + solive ends and moulded band + sabliere basse above) — the dead zone between storeys	about 0.65	m	0.650	m	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Pan de bois"", fig. 4 and fig. 5"	On voit en g comment s’embrèvent les sablières basses h aux abouts des solives, et comment, entre chacune de ces solives, on a posé des entretoises moulurées i.
timber_frame	urban timber house, Chateaudun, late 13th c	[[PLATE-SCALED off fig. 4 at 88.4 px/m]] street door opening, clear width x height above the ground-storey sill	1.00 x 2.15	m	2.150	pair max (m)	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Pan de bois"", fig. 4"	le tracé perspectif l figure le linteau m de la porte et son assemblage avec le poteau p, formant jambage
timber_frame	urban timber house, Chateaudun, late 13th c	[[PLATE-SCALED off fig. 4 at 88.4 px/m]] window opening per light, 1er etage — clear width x height (two lights per group, separated by a 0.19 m meneau post)	0.74 x 1.84	m	1.840	pair max (m)	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Pan de bois"", fig. 4"	Le roulement du pan de bois est maintenu par des décharges E assez fortes, et des croix de Saint-André sous les appuis des fenêtres.
timber_frame	urban timber house, Chateaudun, late 13th c	[[PLATE-SCALED off fig. 4 at 88.4 px/m]] window opening per light, 2e etage — clear width x height; head sits directly under the sabliere haute	0.75 x 1.27	m	1.270	pair max (m)	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Pan de bois"", fig. 4"	Le roulement du pan de bois est maintenu par des décharges E assez fortes, et des croix de Saint-André sous les appuis des fenêtres.
timber_frame	urban timber house, Chateaudun, late 13th c	[[PLATE-SCALED off fig. 4 at 88.4 px/m]] window sill (appui) height above its own floor	0.80 (2e etage) to 0.90 (1er etage)	m	0.800	first number, unit column (m)	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Pan de bois"", fig. 4"	Le roulement du pan de bois est maintenu par des décharges E assez fortes, et des croix de Saint-André sous les appuis des fenêtres.
timber_frame	urban timber house, Chateaudun, late 13th c	[[PLATE-SCALED off fig. 4 at 88.4 px/m. THE MISSING BAY MODULE. Measured five ways: ground-storey post edges at x=212/293/369 px, and upper-storey window-light edges implying post axes at x=133/213/294 px. The 0.74 m light plus the 0.19 m meneau post sums to the same 0.91 m, so window and panel bays share one grid]] post spacing along the wall, axis to axis (bay length of the pan de bois)	about 0.90	m	0.900	m	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Pan de bois"", fig. 4"	Les poteaux d’angle et d’axe de la façade B ont 22 et 24 centimètres d’équarrissage ; tous les autres, ainsi que les sablières et solives, n’ont que 17 à 19 centimètres.
timber_frame	urban timber house, Chateaudun, late 13th c	[[PLATE-SCALED off the section profile A of fig. 4 at 88.4 px/m; two successive jetties measured 24 and 26 px]] jetty projection per storey (solive-end encorbellement, no potences)	0.27 and 0.29	m	0.270	first number, unit column (m)	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Pan de bois"", fig. 4"	Les deux étages de pans de bois de face sont posés en encorbellement l’un sur l’autre, ainsi que l’indique le profil A.
timber_frame	urban timber house, Chateaudun, late 13th c	[[PLATE-SCALED off the section profile A of fig. 4 at 88.4 px/m. This is the calibration check, not an independent finding — it reproduces Viollet's printed 17-19 cm]] wall thickness measured in section, storey by storey from the ground up	0.16 (rez-de-chaussee), 0.18 (1er etage), 0.19 (2e etage)	m	0.160	first number, unit column (m)	measured	"Viollet-le-Duc, Dictionnaire raisonné, ""Pan de bois"", fig. 4"	Les poteaux d’angle et d’axe de la façade B ont 22 et 24 centimètres d’équarrissage ; tous les autres, ainsi que les sablières et solives, n’ont que 17 à 19 centimètres.
